project	part_number	file_name	sha256	rows_in_part
TCGA-ACC	1	TCGA-ACC_part001.tsv.gz	a239d846ab6a7c8feb6cecd49ef6a39d5c65b41a8304813b985d66766722dcbd	4003560
TCGA-ACC	2	TCGA-ACC_part002.tsv.gz	16b41db4fba65ad96e0c603ef7e955be9884447015dc9602b8329fb9720f39bb	788580
TCGA-CESC	1	TCGA-CESC_part001.tsv.gz	93cf416cd91ca66a1bcefd27adf01bc4db14c2ca0cccb03232e99fbad23409a3	4003560
TCGA-CESC	2	TCGA-CESC_part002.tsv.gz	853bf0340edf554ec4b8519a0a5e8504c6e155918bd7c38087a9176b51d83648	4003560
TCGA-CESC	3	TCGA-CESC_part003.tsv.gz	570e61aa8732876cea751ca65e5b84bec1f62330224fcaa08ef1fafd4ef6f8bd	4003560
TCGA-CESC	4	TCGA-CESC_part004.tsv.gz	e67dce3769e67b808a1731abf1033d8eaf28c534618a54984f245d23881d324a	4003560
TCGA-CESC	5	TCGA-CESC_part005.tsv.gz	07a78c44841f227381b4aefc1d40f875e11ba0511fe4bb03789300ceaa848051	2426400
TCGA-CESC	6	TCGA-CESC_part006.tsv.gz	cb6ee41b2b6c35147e104cc7d65de9caf4697d8f1d6d2d8ad6240686d6a26f81	303300
TCGA-DLBC	1	TCGA-DLBC_part001.tsv.gz	57b9d2c9048ba30961ed86dbb92bee3ce6f9ec7dfa415ead6dd7223644999d24	2911680
TCGA-MESO	1	TCGA-MESO_part001.tsv.gz	d0835628d1a71bab6b38bd4d81292366a9f0061535a34a32a6163f61e0729d5a	4003560
TCGA-MESO	2	TCGA-MESO_part002.tsv.gz	d96543b2429e120bd6de20231f905f493ec54e810bddd173cc94e7fbdf8e9a7d	1273860
TCGA-CHOL	1	TCGA-CHOL_part001.tsv.gz	6bb9a9acaaec8d8c6072331e3407a716e8e3901f8dbc460a8fe466a57621d2cd	2183760
TCGA-CHOL	2	TCGA-CHOL_part002.tsv.gz	16f02192603fbc942c6fce6e9275b294d88ba4495a45349e619d1385d145fecc	424620
TCGA-CHOL	3	TCGA-CHOL_part003.tsv.gz	d011b98d517f27680dd1d0b6f2e69061264fec4a2d748d07d474e22e203a3223	60660
TCGA-ESCA	1	TCGA-ESCA_part001.tsv.gz	3156f9760dc81ba1bb6a933642694d90cd7b79089516ac88b6fe51e7cca6139c	4057602
TCGA-ESCA	2	TCGA-ESCA_part002.tsv.gz	57fdd94586fa5626acc75f3f2857706a2dec86d216faa47f33ae2cd167d6f29f	3214980
TCGA-ESCA	3	TCGA-ESCA_part003.tsv.gz	87b40c106751fef07cb76bcda20f2681ab7259840e4f0c052a70aa98bb4e4b35	2426400
TCGA-ESCA	4	TCGA-ESCA_part004.tsv.gz	d9bb1978791afac272ebed46174b89540bcf3e2fd11a2f1928ff2714c26a23ad	2365740
TCGA-KICH	1	TCGA-KICH_part001.tsv.gz	7da2520c54fd4652d7708246c2d245915aeffdc9b466a443eb28679e8d6e7d10	4003560
TCGA-KICH	2	TCGA-KICH_part002.tsv.gz	d0f78bfae9fc22664a7fa0069d49043e271fad1b3eb476b79b6a679438f6b12a	1334520
TCGA-PAAD	1	TCGA-PAAD_part001.tsv.gz	8bc8c9af9a6c829099135d012512da285cc9878d1abd901972973fc77a56f521	4003560
TCGA-PAAD	2	TCGA-PAAD_part002.tsv.gz	02822ac5d4c2afc17c051822548a011280ef20c6412e5edf6706dcd8ccf1938f	4003560
TCGA-PAAD	3	TCGA-PAAD_part003.tsv.gz	4f62c876e05ec770c0d37076d60e369766a7b5ac6ab89ab00b95e241c2de42ba	2365740
